Date,Fechamento,Máxima,Mínima,Abertura,Volume
1999-10-26,10302.1298828125,10408.1904296875,10300.8603515625,10350.8798828125,116660000
1999-10-27,10394.8896484375,10420.5400390625,10273.9501953125,10302.759765625,108010000
1999-10-28,10622.5302734375,10637.73046875,10397.669921875,10397.669921875,144440000
1999-10-29,10729.8603515625,10790.01953125,10628.8701171875,10629.1796875,136620000
1999-11-01,10648.509765625,10745.76953125,10648.509765625,10730.7802734375,150060000
1999-11-02,10581.83984375,10751.8798828125,10572.669921875,10653.7099609375,143460000
1999-11-03,10609.0595703125,10650.349609375,10563.1904296875,10582.5400390625,153890000
1999-11-04,10639.6396484375,10711.8203125,10602.9404296875,10612.419921875,195700000
1999-11-05,10704.48046875,10842.7197265625,10638.419921875,10639.9501953125,171660000
1999-11-08,10718.849609375,10776.0498046875,10650.349609375,10668.419921875,213120000
1999-11-09,10617.3203125,10765.650390625,10585.2099609375,10715.099609375,168950000
1999-11-10,10597.740234375,10654.6298828125,10536.26953125,10611.9404296875,148240000
1999-11-11,10595.2998046875,10643.9296875,10543.919921875,10603.25,130060000
1999-11-12,10769.3203125,10771.759765625,10542.3896484375,10593.509765625,158320000
1999-11-15,10760.75,10798.3701171875,10712.1298828125,10764.73046875,130860000
1999-11-16,10932.330078125,10937.830078125,10757.3896484375,10762.8896484375,162770000
1999-11-17,10883.08984375,10937.5302734375,10879.1103515625,10929.0,157130000
1999-11-18,11035.7001953125,11054.349609375,10886.150390625,10887.669921875,165080000
1999-11-19,11003.8896484375,11036.6201171875,10976.0595703125,11033.25,157690000
1999-11-22,11089.51953125,11112.76953125,10978.2001953125,11008.7802734375,181940000
1999-11-23,10995.6298828125,11101.759765625,10976.3701171875,11090.2900390625,159840000
1999-11-24,11008.169921875,11044.259765625,10949.150390625,11000.2197265625,132160000
1999-11-26,10988.91015625,11055.580078125,10984.009765625,11007.259765625,64240000
1999-11-29,10947.919921875,10987.3798828125,10886.150390625,10985.73046875,148330000
1999-11-30,10877.8095703125,11045.48046875,10873.6103515625,10945.490234375,157390000
1999-12-01,10998.3896484375,11000.830078125,10859.650390625,10876.4697265625,145820000
1999-12-02,11039.0595703125,11070.7197265625,10988.599609375,10995.01953125,132560000
1999-12-03,11286.1796875,11341.23046875,11045.7900390625,11046.099609375,167790000
